item_no,name,diet_type,category,meal,ingredients,serving_size,calories,total fats(g),carb_type(g),total carbs(g),dietary fiber(g),total sugar(g),added sugar,proteins(g),sodium(mg),iodine,cholestrol (mg),vitamin b 
1,Pomegranate,Veg,Fruit,Breakfast,pomegranate,100gm,83,1.17 g,simple carb,      18.70 g        ,4 g,14g ,0,1.67 g        ,3 mg,0,0 mg,
2,Watermelon,Veg,Fruit,Breakfast,watermelon,100gm,30,0.2 g,simple carb,8 g,0.4 g,6 g,0,0.6 g,1,0,0 mg,
3,Pineapple,Veg,Fruit,Breakfast,pineapple,100gm,50,,simple carb,13 g,1.4 g,10 g,0,0.5 g,1,0,0 mg,
4,Orange,Veg,Fruit,Breakfast,orange,100gm,47,0.1,simple carb,12,2.4,9,,0.9,0,,0,
5,Apple,Veg,Fruit,Breakfast,apple,100gm,52,0.2,simple carb,14,2.4,10,0,0.3,1,,0,0
6,Green Grapes,Veg,Fruit,Breakfast,grapes,100gm,34,0,simple carb,8.9,0.9,16,0,0.6,2,,0,5%
7,Banana,Veg,Fruit,Breakfast,Banana,100gm,89,0.3,simple carb,23,2.6,12,0,1.1,1,,0,
8,Cherry,Veg,Fruit,Breakfast,cherry,100gm,50,0.3,simple carb,12,1.6,8,0,1,3,,0,0
9,Apricot,Veg,Fruit,Breakfast,apricot,100gm,48,0.4,simple carb,11,2,9,0,1.4,1,,0,
10,Mango,Veg,Fruit,Breakfast,mango,100gm,60,0.4,simple carb,15,1.6,14,0,0.8,1,,0,5%
11,Pear,Veg,Fruit,Breakfast,pear,100gm,57,0.1,,15,3.1,10,0,0.4,1,,0,
12,Guava,Veg,Fruit,Breakfast,guava,100gm,68,1,simple carb,14,5,9,0,2.6,2,,0,5%
13,Kiwi,Veg,Fruit,Breakfast,pear,100gm,61,0.5,,15,3,9,,1.1,3,,0,
14,Fig,Veg,Fruit,Breakfast,fig,100gm,37,0,simple carb,10,1,8,0,0,1,,0,0
15,Blackberry,Veg,Fruit,Breakfast,blackberries,100gm,43,0.5,,10,5,4.9,0,1.4,1,,0,0
16,Plum,Veg,Fruit,Breakfast,plum,100gm,46,0.3,simple carb,11,1.4,10,0,0.7,0,,0,0
17,Strawberry,Veg,Fruit,Breakfast,strawberry,100gm,32,0.3,simple carb,7.7,2,4.9,0,0.7,1,,0,
18,Avocado ,Veg,Fruit,Breakfast,Avocado ,100gm,160,15 g,simple carb,9 g,7 g,0.7 g,0,2 g,7,,0,
19,Blueberry,Veg,Fruit,Breakfast,blueberry,100gm,57,0.3,,14,2.4,10,0,0.7,1,,0,
